营业执照注册号/统一社会信用代码 名称 类型 法定代表人 注册资本 成立日期 住所 营业期限自 营业期限至 经营范围 登记机关 核准日期 登记状态
120000000023958/91120000058706284U 天津宝利集团商务会馆有限公司 有限责任公司(法人独资) 霍汉祥 30万元 20121129 天津市北辰区大张庄镇南王平村津围公路1390号（部分） 20121129 20621128 会议服务；展览展示服务；劳务服务（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理。） 天津市市场和质量监督管理委员会 20121129 存续
120000000023966/91120000058710953R 天津水投资产运营管理有限公司 有限责任公司(法人独资) 王建国 200万元 20121130 天津市河西区围堤道210号 20121130 20421129 负责天津水务投资集团有限公司直管或委托管理项目的资产管理（金融资产管理除外）；房屋租赁；物业服务；工程项目管理、策划、代理；工程咨询；苗圃、花卉种植、销售；自有设备、场地租赁（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理。）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20160419 存续
120000000023974/911200000587101791 天影恒星（天津）投资股份有限公司 股份有限公司 高刚 10000万元 20121204 天津市东丽区先锋路61号 20121204 - 以自有资金对工业、商业、房地产业进行投资及资产管理（金融资产除外）；会议服务；从事广告业务；房屋租赁；劳务服务；安全技术防范工程；日用百货、服装鞋帽、工艺美术品、花卉、汽车装具、纺织品、制冷设备批发兼零售；烟零售；空调、制冷设备、灯光设备、音像设备、录像放映设备维修、安装、调试、检测（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理。） 天津市市场和质量监督管理委员会 20131119 存续
120000000023999/91120000058732589N 天津报业新媒体股份有限公司 股份有限公司 李洪江 1000万元 20121221 天津新产业园区华苑产业区工华道壹号IT园209-3 20121221 - 新媒体网络、计算机软件、电子产品、通信设备的技术开发、转让、咨询服务；经济信息咨询；广告业务；市场调研；企业营销策划及形象策划；教育信息咨询；会展服务（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理。） 天津市滨海新区市场和质量监督管理局 20160219 存续
120000000004002/9112000071829671XE 新华人寿保险股份有限公司天津分公司 股份有限公司分公司(非上市) 朱涛 -万元 20000413 天津市河西区绍兴道与永安道交口西南侧罗兰花园7-1601、7-1901至7-2101 20000413 - 个人意外伤害保险、个人定期死亡保险、个人两全寿险、个人终身寿险、个人年金保险、个人短期健康保险、个人长期健康保险、团体意外伤害保险、团体定期寿险、团体终身保险、团体年金保险、团体短期健康保险、团体长期健康保险；经中国保险监督管理委员会批准的其它人身保险业务（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20130426 存续
120000000004019/91120000732794002F 天津君阁药业有限责任公司 有限责任公司 涂刚 300万元 20011023 天津市和平区和平路230号 20011023 20211022 中成药、中药饮片、化学药制剂、抗生素、生化药品零售；医疗器械（具体范围见医疗器械经营企业许可证）；预包装食品（保健食品）批发兼零售；日用百货、化妆品零售；相关技术的开发、转让、咨询服务（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20131202 吊销
120000000004027/91120000746651037M 中国平安财产保险股份有限公司天津分公司 有限责任公司分公司 石洪峰 -万元 20030109 天津市南开区白堤路1号 20030109 - 企业财产损失保险、家庭财产损失保险、短期健康保险、意外伤害保险、建筑工程保险、安装工程保险、货物运输保险、机动车辆保险、船舶保险、能源保险、法定责任保险、一般责任保险、保证保险、信用保险，代理国内外保险机构检验、理赔、追偿及其委托的其他有关事宜，经中国保监会批准的其他业务（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20170109 存续
120000000004035/91120000103064293R 中国水产天津公司 全民所有制 严定彬 1913.2万元 19780801 天津市南开区红旗路宜宾道6号 19780801 - 渔需物资（含金属材料）、化工原料（易燃、易爆、易制毒危险化学品除外）、机电产品的调拨批发；汽车销售业务（限最终用户）；土特产品、日用杂品、仓储及相关劳务和咨询业务；自营和代理各类商品及技术的进出口业务、国家规定的专营进出口商品和国家禁止进出口等特殊商品除外；经营进料加工和“三来一补”业务、开展对销贸易和转口贸易；自有房屋租赁；国内、国际（海运、陆运、空运）货运代理；预包装食品批发兼零售；食用农产品、粮食、蔬菜、水果及坚果、茶叶、肉类产品、蛋类产品、水产动物产品、水生植物销售；代理报关（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20160607 存续
120000000004043/91120000700568537C 天津南楼商贸集团有限责任公司 有限责任公司(国有独资) 刘凤林 7714.86万元 19800121 河西区解放路大沽路交界口 19800121 20500101 各类商品、物资的批发、零售；金、银饰品的零售及加工修配；劳保用品；五金交电、工程、炊事机械、装饰装修材料、钢铁铸件销售；房屋租赁（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20121123 存续
120000000004051/91120000103065798W 天津市桂发祥麻花饮食集团有限公司 有限责任公司(国有独资) 李辉忠 5885万元 19800227 河西区前进道25号 19800227 20500101 餐饮企业管理；会议服务；食品生产机械设备加工、制造、销售；烟零售；广告业务；自有房屋租赁；货物及技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市河西区市场和质量监督管理局 20130402 存续
120000000004060/91120000103066010B 通用技术集团国际仓储运输天津公司 全民所有制 朱祖顺 350万元 19930826 天津河东区十一经路78号万隆大厦606室 19930826 - 承办进出口货物的海、陆、空运输代理业务及集装箱拼、拆、装箱服务、保险、报验、报关、订舱、转运、鉴发提单、缮制各种单证与仓储运输有关的咨询服务（以上经营范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20151210 存续
120000000004078/911200001030722933 天津东海投资集团有限公司 有限责任公司 唐山林 5080万元 19971215 北辰区东堤头村 19971215 20500101 对燃气产业进行投资及管理服务；灶具、建筑材料、日用杂品、五金、电工器材、日用百货、服装批发兼零售；厨房设备制造；限分支机构经营：普通货运（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20160203 存续
120000000004086/911200007643391515 泰达津菜城（天津）美食有限公司 有限责任公司 张青勇 5000万元 20040825 天津市南开区黄河道20-58号双号 20040825 20240824 主食、热菜加工经营（不含凉菜、不含裱花蛋糕、不含生食海产品）；会议服务；工艺品、服装、百货、金银珠宝、玉器批发兼零售；房屋租赁；物业服务（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20131223 存续
