营业执照注册号/统一社会信用代码 名称 类型 法定代表人 注册资本 成立日期 住所 营业期限自 营业期限至 经营范围 登记机关 核准日期 登记状态
120000000004272/91120116754811475H 天津天纺投资控股有限公司 有限责任公司(国有独资) 卞镇 183300万元 20030930 天津空港经济区东九道6号 20030930 30000101 对政府授权范围内国有资产投资；经营；纺织装备、纺织产品的开发、生产、销售；纺织原料及产品的物流分发配送（汽车货运除外）；纺织工业园基础设施建设、开发、经营；自有房屋的租赁；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）；棉纺织加工；毛纺织；印染；针织品制造；服装制造；纺织机械及配件、钢材销售；为企业提供劳务服务；国内劳务派遣；机器设备租赁；棉纺织、空调、电气技术咨询；房屋租赁；场地租赁；物业服务；电子产品、铁矿石、煤炭、有色金属、乳制品（含婴幼儿配方乳粉）贸易（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20151019 存续
120000000004289/911200001030698956 天津金轮自行车集团有限公司 有限责任公司 杨茂秀 6970万元 19960722 天津市武清区南蔡村镇 19960722 - 自行车及其零件、电器元件、制冷设备的制造、加工；金属及有色金属材料加工、制造、销售；喷烤漆加工；电动自行车组装、加工、销售；日用百货、服装鞋帽、纺织品、化妆品、灯具、文具、体育用品、工艺美术品、装饰装修材料、建筑材料、化工产品（危险品及易制毒品除外）、五金、电器设备、通讯器材、计算机及辅助设备、铁木家具的销售；烟零售；房屋建筑工程施工；从事广告业务；会议服务；展览展示服务；自行车、电动自行车技术的开发、咨询、转让；汽车（小轿车除外）销售；货物及技术进出口（法律、行政法规另有规定的除外）；普通货运（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20140925 存续
120000000004297/911200007676419544 中国民生银行股份有限公司天津分行 股份有限公司分公司(上市) 康文哲 -万元 20041220 天津市和平区建设路43号、45号、烟台道14、16、18号 20041220 - 吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；代理发行金融债券；代理发行、兑付、承销政府债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；代理收付款项；提供信用证服务及担保；提供保险箱服务；办理其总行在中国银行业监督管理委员会批准的业务范围内授权的业务；办理经中国银行业监督管理委员会批准的其他业务；家庭财产保险、与贷款标的物相关的财产保险、人寿保险、意外伤害保险、健康保险的代理（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20160324 存续
120000000004301/9112011673035453X8 天津空港国际物流股份有限公司 股份有限公司 杨士彪 11000万元 20010730 天津自贸试验区（空港经济区）空港国际物流区第二大街1号 20010730 20500101 国际物流设施开发、经营；仓储（限非滨海新区分支机构经营）、加工、配送、展销；自有房屋的租赁业务；自营和代理各类商品和技术的进出口；海上国际货运代理；陆路国际货运代理；航空国际货运代理；花卉、矿产品、塑料、橡胶及其制品、木材及制品、金属材料、建筑材料、纺织品、服装、五金交电、日用百货、文化办公用品、通讯产品、机电产品销售；化工产品及原料（危险品及易制毒品除外）批发兼零售；代收电费（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20160607 存续
120000000004310/91120116103063530F 中国新华航空天津公司 全民所有制 江新营 200万元 19920929 天津市滨海国际机场 19920929 - 国内航空客货运输销售代理；客货包机；航空快件；空陆联运业务；航空器材、机电产品、汽车、摩托车配件、现代办公设备、化工原料（化学危险品及易制毒品除外）、仪器仪表、家用电器、家俱、日用百货、服装、针棉织品、工艺美术、照相器材（以上范围内国家有专营专项规定的按规定办理）。 天津市东丽区市场和质量监督管理局 20130523 存续
120000000004328/911200002396805970 天津巴士实业有限公司 有限责任公司 丁福生 6500万元 19941115 天津市北辰区北韩公路与外环线交口 19941115 20441114 城市公共交通客运服务；设备租赁、劳务服务（国家有专营专项规定的按专营专项规定办理）；机械、电子设备、汽车配件、五金、交电、化工（不含易毒品、危险品）、百货、家具、建筑材料批发兼零售；烟、酒零售（只限分支机构经营）；餐饮、干洗服务。（餐饮、食品、饮料限分支机构经营）（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20160411 存续
120000000004336/9112000067372621XT 天津国际文化产业开发有限公司 有限责任公司(法人独资) 史曼秋 100万元 20080411 天津滨海民营经济成长示范基地创意中心A座1802室008号 20080411 20180410 组织中外文化艺术交流活动；对文化产业及其相关产业进行投资；字画（文物除外）、工艺品、美术品、办公用品、家俱、舞台音响、五金交电、机电设备、电器仪表销售；图文设计；装饰设计；房屋租赁；物业管理；会议服务、展览展示服务；文化艺术信息、商务信息咨询（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20140410 存续
120000000004344/91120000783317345U 天津招商房地产有限公司 有限责任公司 聂黎明 4000万元 20060119 天津市和平区西康路36号23幢302 20060119 20260118 房地产开发、商品房销售；房屋租赁；装饰装修；房地产经纪代理；物业管理；家具、家用电器租赁；（以上范围内国家有专营专项规定的按规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20161212 存续
120000000004369/91120000754843696C 天津市市容环卫建设发展有限公司 有限责任公司(国有独资) 王铁兵 12700万元 20031219 天津市南开区水上公园北道凯祥花园别墅50号 20031219 20231218 以自有资金对市容和环境卫生设施投资及管理咨询服务；市容和环境卫生基础设施建设开发；环保产品的开发、销售；清洁服务；工程设计、施工及工程技术咨询；自有房屋租赁；垃圾处理（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20160324 存续
120000000004377/91120000738481795R 天津中孚国际集团有限公司 有限责任公司(国有独资) 高纪选 10000万元 19880615 天津市河西区友谊路1号 19880615 20500101 各类服装、服饰制品、辅料物料的生产、销售及相关的咨询服务业务；自有房屋租赁；物资储存（危险品除外）；装卸；劳务服务；自营和代理各类商品和技术的进出口、但国家限定公司经营或禁止进出口的商品和技术除外；汽车（小轿车除外）、建筑材料、化工产品（危险品及易制毒品除外）、矿石销售；普通货运（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20120222 存续
120000000004385/91120000673739176H 中国农业银行股份有限公司天津东疆支行 股份有限公司分公司(上市) 宋冬梅 -万元 19960621 天津东疆保税港区美洲路联检商贸服务中心 19960621 - 办理人民币存款、贷款、结算业务；办理票据贴现；代理发行金融债券；代理发行、代理兑付、销售政府债券；买卖政府债券；代理收付款项；办理外汇存款、外汇贷款、外汇汇款；国际结算；通过上级行办理代客外汇买卖业务；其总行在中国银行业监督管理委员会批准的业务范围内授权的业务；经中国银行监督管理委员会批准的其他业务。（以上经营范围涉及许可证的在未取得之前不得从事生产经营活动，国家有专项专营规定的按规定办理） 天津市自由贸易试验区市场和质量监督管理局 20150211 存续
120000000004393/91120000401209382U 中国银联股份有限公司天津分公司 有限责任公司分公司 杨绪森 -万元 20021028 河西区郁江道21号4号楼2门1-3层 20021028 - 建设和运营银行卡跨行信息交换网络；提供先进的电子化支付技术和与银行卡跨行信息交换相关的专业化服务；协调和仲裁银行间跨行交易业务纠纷；管理和经营“银联”标识；开展银行卡技术创新；协助总公司组织行业培训、业务研讨和开展国际交流、从事相关研究咨询服务（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20150210 存续
120000000004408/91120000103061842X 天津药业集团有限公司 有限责任公司 李静 67497万元 19880709 天津市河东区八纬路109号 19880709 20200808 化学原料药及中间体、制剂、中成药、中药材、化工原料、葫芦巴胶的制造、加工和销售及技术服务、咨询、研发、转让；承包中外合资经营、合作生产企业；劳动服务；开展对外经济技术合作业务；自有房屋出租；限分支机构经营：保健食品制造、加工、销售（以上范围内国家有专营专项规定的按规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20161121 存续
120000000004416/91120116673723991R 天津鸿川国际物流有限公司 有限责任公司 王国庆 500万元 20080417 天津自贸区（东疆保税港区）美洲路联检大厦4层4025-18房间 20080417 20280416 国际货物运输贸易代理服务（海、陆、空运）；石材，建筑材料，电线电缆，室内装饰材料，五金交电的批发兼零售；从事报关业务，装卸服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20161213 存续
120000000004424/- 中国自动化控制系统华北有限公司 有限责任公司 王永华 500万元 19930319 天津市河北区民生路56号209室 19930319 20591203 自动化控制系统、电子、通讯技术开发、咨询、转让；室内外装饰装修、企业管理、园林绿化、物业服务；招标（不含中介）、公路市政消防工程施工、工程项目总承包、劳务分包；通讯设备、电子产品、机械自动化设备、建筑材料、日用百货零售兼批发；货物及技术进出口。**经营范围中国家有专营专项规定的按专营专项规定办理** 天津市河北区市场和质量监督管理局 20121228 吊销
120000000004432/91120000103070300P 天津一建建筑工程有限公司 有限责任公司 韩福庆 9491.81万元 19801212 天津市和平区卫津路149号云琅新居C座 19801212 20461105 土木工程建筑；商品混凝土生产及销售；室内外装修；锅炉、电梯、水电通安装、制冷设备安装、起重机械安装；钢结构制作及安装；机械施工、灌注桩施工；建筑机械修理、租赁业务；预应力专项工程施工；人防工程防护设备生产；建筑防水工程施工；市政公用工程施工、体育场地设施工程施工、限分支机构经营：混凝土外加剂制造；汽车运输（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20161215 存续
120000000004449/911200006737332419 天津铁路建设投资控股（集团）有限公司 有限责任公司(法人独资) 邹宇 525000万元 20080418 天津空港物流加工区西三道166号A2-217室 20080418 20580418 铁路货运专项投资；城市基础设施投资和建设；土地整理；房地产开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20150723 存续
120000000004457/91120000673733444X 中智大地留学服务中心天津联络部 全民所有制分支机构(非法人) 王颖 -万元 20080421 天津市河西区苏州道2号图书大厦文华国际商务中心1713B室 20080421 - 负责本企业的业务联络，不得从事任何的经营活动（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20120410 存续
120000000004465/91120118673743423Q 中国银行股份有限公司天津自由贸易试验区分行 股份有限公司分公司(上市) 孙惠敏 -万元 20080422 天津自贸区（东疆保税港区）欧洲路与郑州道交口金融贸易中心南区1-6、1-7、1-207 20080422 - 办理人民币存款、贷款、结算业务；办理票据贴现；代理兑付、销售政府债券；代理收付款项及代理保险业务；人民币信用卡业务；外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；外汇票据的承兑和贴现；结汇、售汇；办理代客外汇买卖；外汇信用卡的发行；代理国外信用卡的发行及付款；资信调查、咨询、见证业务；以及经中国银行业监督管理委员会批准的业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20150506 存续
120000000004473/911201167440479609 天津港国际物流发展有限公司 有限责任公司 余厚新 45000万元 20030118 天津自贸试验区（天津港保税区）新港大道98号308室 20030118 20530117 基础设施的建设及相关服务，设施、设备的出让、租赁，集装箱及其它货物的装卸、仓储，包装、加工及相关业务，国际货物运输代理服务（海、陆、空运），集装箱的修箱、洗箱，国际贸易，信息服务，劳务服务，物业管理，各种货物交易的中介服务，及以上相关的咨询服务；停车场管理服务；货物及技术的进出口；汽车（不含小轿车）的销售；塑料、橡胶及其制品、金属材料、机电产品（小轿车除外）、化工产品及原料（危险化学品、剧毒品及易制毒品除外）的批发兼零售（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20170106 存续
120000000004481/911201166737246444 天津宝锐国际贸易有限公司 有限责任公司 胡先宝 3000万元 20080423 天津自贸区（东疆保税港区）美洲路联检服务中心四层4025-02房间 20080423 20280422 国际贸易；转口贸易；矿产品、建材、化工产品、汽车、机电产品、纺织品、游艇、电子产品、机械设备、摩托车及配件的批发兼零售；自营和代理货物及技术的进出口；报关代理及相关业务咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20160323 存续
120000000004490/91120000600653371X 天津市粤唯鲜文化产业投资集团有限公司 有限责任公司 张连志 6800万元 19931106 和平区河北路283号 19931106 20731106 对文化产业、广告业、餐饮业、进行投资及管理咨询服务；信托寄卖业；烟零售。批发兼零售：五金、交电、机电产品（轿车除外）、民用建材、针纺织品、百货、工艺品（金银饰品除外）、家具、化工（易燃易爆易制毒化学品除外）；（国家有专项专营规定的、按规定执行）、（以上涉及前置审批的行业以许可证有效期为准）。 天津市市场和质量监督管理委员会 20120821 存续
120000000004504/91120000718256339W 天津联博化工股份有限公司 股份有限公司 薛定 2000万元 19991227 天津市滨海新区大港南环路93-1号 19991227 20500101 化工产品的制造、加工、销售；生产经营二氧化碳、氩气；有储存经营二类2项不燃气体；无储存经营工业生产用二类１项易燃气体、三类１项低闪点液体、三类２项中闪点液体、三类３项高闪点液体（剧毒、易制爆、监控、一类易制毒化学品、城镇燃气除外）；氩气、二氧化碳、混合气充装；钢质无缝气瓶定期检验；设备租赁；劳务服务；技术服务；异丁烷、1-丁烯生产（限分支经营）；疏水器、阀门、压力管道生产、研发、安装、销售、技术支持及服务；货物及技术进出口；铝合金无缝气瓶定期检验与评定；合同能源管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20150417 存续
120000000004512/- 天津众信金牌保姆服务中心 集体所有制 陈秀 50万元 20080424 天津市河东区红星路79号 20080424 - 家政服务；劳务服务（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20150317 注销
120000000004529/9112000071093262XY 津投期货经纪有限公司 有限责任公司 高玉章 8500万元 20040531 天津市河西区马场道59号A座九层 20040531 20340531 商品期货经纪；金融期货经纪（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20161031 存续
120000000004537/911200001033392426 天津市山华集团股份有限公司 股份有限公司 关苏芬 5008万元 19921210 天津市河西区黑牛城道中段南侧伟业大厦10楼1003室 19921210 20480512 船舶燃料油柴油（63℃闪点）；燃料油（闪点：226℃）、船舶油4#（闪点：82℃）、船舶油180#（闪点：142℃）销售；投资信息咨询；企事业单位、个人理财信息咨询；进出口业务；焦炭批发兼零售；金属材料、建筑材料、机电产品（小轿车除外）、化工产品（危险品及易制毒品除外）销售；限分支经营：住宿；饮食服务；文化艺术交流服务；广告业务；工艺美术品、文化用品销售；煤炭批发经营；电缆、电线销售（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20150407 存续
120000000004545/911200006737297608 渤海银行股份有限公司天津分行 股份有限公司分公司(非上市) 戴超 -万元 20080424 天津市河西区友谊北路银都大厦63号一层、二层、三层、四层 20080424 - 吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑现贴现；代理发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项；提供保险箱服务；办理经中国银行业监督管理委员会批准和总行授权经营的其他业务；家庭财产保险、与贷款标的物相关的财产保险、人寿保险、意外伤害保险、健康保险（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20151022 存续
120000000004553/911200006008719501 天津万和科技发展股份有限公司 股份有限公司 张友麟 26500万元 19970619 南开区宾水西道56号 19970619 20500101 房地产开发、商品房销售；自有房屋出租；以自有资金对科技业、商贸业进行投资及管理咨询服务；电子技术开发、技术咨询；科技企业孵化（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20130726 存续
120000000004561/91120000730361078M 民生期货有限公司天津营业部 有限责任公司分公司 夏锡铜 -万元 20010802 天津市河西区徐州道5号外代大厦701室 20010802 - 商品期货经纪、金融期货经纪（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20150114 存续
120000000004570/91120000673728872X 天津新运达物流设备服务有限公司 有限责任公司 唐平 100万元 20080428 天津自贸区（东疆保税港区）美洲路联检服务中心4层4025-01房间 20080428 20180427 物流设备租赁服务；物流设备维修服务；叉车、牵引车及其零配件销售；起重机械及其零配件销售；国际贸易、简单加工、代办保税仓储及相关的咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20150212 存续
120000000004588/911200007182589087 中国石油天然气股份有限公司大港油田分公司 股份有限公司分公司(上市) 赵贤正 -万元 20000103 天津市滨海新区大港三号院 20000103 - 石油、天然气勘查、生产、销售；炼油、石油化工、化工产品的生产、销售；石油天然气管道运营；石油、天然气勘查、开采技术咨询及测井、试井等相关技术服务；石油工程监理；石油制品检验、监测；仪器仪表修理；机械设备无损探伤；钻井、修井；井架检测；特种设备检测；石油设备工具检测；油田锅炉内压力容器、汽车槽车、仪器仪表检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20160315 存续
120000000004596/91120000673733022Y 天津隆昊进出口有限公司 有限责任公司(自然人独资) 闫占起 1000万元 20080429 天津东疆保税港区美洲路联检服务中心四层4025-06 20080429 20280428 商品及技术的进出口业务；矿产品、金属材料、五金交电、木材、化工产品（危险化学品及易制毒品除外）、机械设备、电子产品、纸制品及纸浆、炉料、建筑材料、燃料油、（危险化学品除外）、润滑油、重油、石脑油批发兼零售；国际货运代理；商品信息咨询；基础工程建设。（以上范围国家有专项专营规定的按规定执行） 天津市市场和质量监督管理委员会 20101129 吊销
120000000004607/9112011673037627X9 天津市方德集团有限公司 有限责任公司(法人独资) 朱德升 9620万元 20010912 天津市滨海新区塘沽万年桥西侧 20010912 - 承担企业资产重组项目；工程技术咨询（中介除外）；钢材、建材、化工产品（不含危险和易毒品）、机电一体化设备、计算机及软件、仪器、仪表批发兼零售；汽车配件、五金交电、家用电器、汽车销售（不含小轿车）、商品储存、矿山机械设备修理；拆船、铁木加工、钢材深加工、钢轧延加工、油漆催干剂、化碱催化剂制造、化学试剂制造（不含危险和易毒品）；焦炭销售；黑色废旧金属收购、代购、代销；仓储；机械设备及自有房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20160603 存续
120000000004615/91120000700546020B 天津天骄集团有限公司 有限责任公司 尚玉龙 8000万元 19980505 天津市红桥区五中后大道8--8号 19980505 20500101 立德粉，化工产品（化学危险品及易制毒品除外）、电器机械及器材、自行车、普通机械、金属制品制造；技术开发、服务、咨询、转让及中试产品销售；商贸；零售兼批发；塑钢门窗制造、销售；经营本企业和本企业成员企业自产产品及相关技术的出口业务；经营本企业和本企业成员企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务；经营本企业的进料加工和“三来一补”业务；木材加工、销售；普通货运；限分支机构经营:西医内科、外科、儿科、中医内科（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20120427 存续
120000000004623/91120000673730841M 天津金盾产权交易服务有限公司 有限责任公司 柴悦 900万元 20080430 天津市和平区桂林路进德里5号201室 20080430 20280429 产权交易代理；商业信息咨询；市场建设经营及管理；机械设备租赁；仓储（不含危险品）；企业资产买卖咨询；企业并购、重组改制咨询；企业管理策划；企业营销策划；清算服务；商务信息咨询（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20110402 存续
120000000004631/91120000673733620T 天津朗玛特科技发展有限公司 有限责任公司 孙利容 50万元 20080505 天津东疆保税港区美洲路联检服务中心4025-07房间 20080505 20280504 机械设备及化工产品的技术开发；化工产品（危险化学品及易制毒品除外）、机械设备及零部件、建筑及装饰材料、日用百货、文体及办公用品、计算机软硬件及辅助设备、电子信息产品、农副产品、服装、纺织品、工艺品批发兼零售；以上范围的相关咨询及技术服务；商品及技术的进出口业务。（以上范围国家有专项、专营规定的按规定执行） 天津市自由贸易试验区市场和质量监督管理局 20150212 存续
120000000004640/9112000010380970XP 天津中津药业股份有限公司 股份有限公司 郭松宝 12625万元 19991230 天津市西青区大寺镇大任庄 19991230 20491229 原料药（维生素B1、硝酸硫胺、吡拉西坦、匹多莫德）生产；经营本企业自产产品及相关技术的出口和本企业生产、科研所需原辅材料、机械设备、仪器仪表、零配件及技术的进口业务；承办中外合资经营、合作生产业务；开展三来一补业务；百货、纺织品批发、零售；（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20161025 存续
120000000004658/91120000103071186E 天津五市政公路工程有限公司 有限责任公司 张勇 10820万元 19970307 天津市河东区十经路11号 19970307 - 承担各级公路工程和桥梁、隧道工程的施工；承担各类型市政公用工程的施工；承担16层以下、24米跨度以下的建筑物、高度50米以下的构筑物的建筑施工；道路桥梁及相关专业的检测、试验；自有设备的租赁；施工机械修理；机配件加工；市政工程构件加工；仓储（危险品除外）；劳务服务；沥青砼加工；可承担各级公路标志、标线、护栏、隔离栅、防眩板等工程施工及安装；建筑材料批发兼零售；物业管理；建筑器材租赁；自有房屋租赁；以下限分支机构经营：桶装纯净水生产经营（以上范围内国家有专营专项规定的按规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20160503 存续
120000000004666/91120000103146109Y 天津市燃料油公司 全民所有制 乔发 22470万元 19920219 天津市和平区西康路72-74号云翔大厦5、6全层 19920219 - 金属材料、化工轻工产品（不含易制毒品）、木材、煤炭、机电产品（不含小轿车）；自有房屋租赁；自营和代理各类商品和技术的进出口、但国家限定公司经营或禁止进出口的商品和技术除外；冶金炉料、矿产品批发兼零售、代购、代销；仓储（危险品除外）；运输工具用汽油、柴油、煤油；三类3项高闪点液体、工业生产用三类1项低闪点液体、三类2项中闪点液体、六类1项毒害品（剧毒、监控、一类易制毒化学品除外）；批发；生产性废旧金属、焦炭回收、销售；生铁批发兼零售；限分支机构经营：仓储服务；石油制品（危险品、易制毒品除外）、燃料油（3#、4#、5#）销售（以上范围内国家有专营专项规定的按规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20141222 存续
120000000004674/91120000700426045T 天津市中环华祥电子有限公司 有限责任公司 孙元彪 5000万元 19980223 天津开发区微电子工业区微七路5号 19980223 20280222 路灯、隧道灯、射灯、景观灯、室内照明设备的生产、销售；太阳能照明系统组装；电子接插件、电子线束、金属端子、塑料制品、模具、电子产品、电器产品的研发、设计、生产、销售；石油钻采机械配件、药品包装机械、纸浆模塑制品制造；纸制品回收；化工产品批发兼零售；包装服务；为企业提供劳务服务；经营本企业自产产品及技术的出口业务；经营对外技术咨询、服务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；经营进料加工和“三来一补”业务；吸塑包装制品生产；注塑件、冲压件、电子产品配件生产及喷涂；机电设备租赁；房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20140930 存续
120000000004682/91120000103224365Q 天津东达配套工程有限公司 有限责任公司 葛志洪 200万元 19801217 天津市河东区十五经路1号 19801217 20560124 土木工程建筑(打桩)；电力工程施工；线路管道安装（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20130411 存续
120000000004699/- 天津金盾投资控股有限公司 有限责任公司 孙立双 200万元 20080506 和平区桂林路进德里5号103室 20080506 20280506 对房地产业进行投资；房地产信息咨询、价格评估；项目可行性研究；企业营销推广；物业管理、咨询服务与信息交流；资产管理（金融资产除外）。(以上范围内国家有专营专项规定的按规定办理) 天津市市场和质量监督管理委员会 20100525 注销
120000000004703/911200007244568120 天津芦阳化肥股份有限公司 股份有限公司 田建军 4500万元 20000804 天津市宁河区经济开发区 20000804 20490804 化肥（危险品除外）、磷肥、复合肥料制造、批发、零售；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；经营进料加工和“三来一补”业务（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20160811 存续
120000000007183/91120000681857041J 中国建筑科学研究院天津分院 有限责任公司(法人独资) 许杰峰 300万元 20081107 天津市中新生态城中天大道2018号生态城科技园低碳体验中心三层306室 20081107 20281106 工程设计及前期策划；工程与产品检测；工程咨询；建筑工程技术开发、技术转让、技术咨询、技术服务；设备销售；热计量表的安装调试；供热技术或供热调试服务；节能评估、节能量审核、碳核查；软件开发与销售；设备安装与调试、机电系统调试；机电顾问（咨询）；合同能源管理；生态城区规划与咨询、建筑信息化咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20160818 存续
120000000007191/91120000681853809P 易美华网技术（天津）有限公司 有限责任公司 潘佐尧 50万元 20081110 天津东疆保税港区美洲路一期封关区内联检服务中心六层6032-16房间 20081110 20281109 网络信息技术开发、服务；办公用品、计算机及外围设备、耗材、软件销售。（以上范围国家有专项、专营规定的，按相关规定执行） 天津市市场和质量监督管理委员会 20111114 吊销
120000000007206/91120000738474552Y 天津市永盛兴木业科技有限公司 有限责任公司 杨怀秋 3000万元 20020607 西青区精武镇馨谷路6号 20020607 20220606 木业技术开发、转让、咨询、服务；木制品加工；装饰装修材料制造、加工、批发兼零售；机械设备租赁、销售；货物进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市西青区市场和质量监督管理局 20160523 存续
120000000007214/91120000663060776M 天津交通投资有限公司 有限责任公司(法人独资) 张建国 5000万元 20070619 天津市河北区胜利路405-411号A区101室C 20070619 20370618 交通基础设施项目投资与管理；资产经营管理（金融资产除外）；设备租赁、汽车租赁；企业管理咨询服务。(以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理) 天津市河北区市场和质量监督管理局 20160524 存续
120000000007222/9112000068185713XX 天津京津成飞洗涤设备工程有限公司 有限责任公司 武晓静 100万元 20081114 天津自贸试验区（东疆保税港区）美洲路联检服务中心6025-10房间 20081114 20281113 洗涤设备、机电设备安装、维修、保养、调试；洗涤设备、机电设备、机械设备、建材、化工产品（危险化学品及易制毒品除外）、电子产品、通风器材、办公设备及耗材、文具、日用百货、劳保用品、五金交电批发兼零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20150212 存续
120000000007239/91120116681857113N 天津东方海亿机电设备工程有限公司 有限责任公司 胡晋华 1000万元 20081114 天津东疆保税港区美洲路联检服务中心6025-07房间 20081114 20281113 机电设备工程；配电电气工程；环保工程；空调制冷工程；通风排风工程施工、安装、维修；电气、机电工程设计；高低压测试、保养、维修；成套设备、电线、电缆、管道、阀门、发电机组、泵、灯具、高低压开关柜、建筑材料、五金电料、仪器仪表、劳保用品、起重设备、物流设备、电焊设备、金属材料、橡塑制品、监控器材批发兼零售；消防器材、钢材的销售，焦炭的经营；自营和代理货物及技术的进出口业务（限从事国家法律法规允许经营的进出口业务）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20150211 存续
